steamid	appid	playtime_forever
76561197960266591	105300	292
76561197960266591	440	156
76561197960266591	630	220
76561197960267406	10	827
76561197960267406	240	192
76561197960267100	10180	285
76561197960267100	10190	2886
76561197960267100	42710	2142
76561197960267100	42690	60
76561197960267348	10	78
76561197960267348	240	9459
76561197960266651	240	123
76561197960267042	10	4772
76561197960267042	30	1337
76561197960267042	50	174
76561197960267042	70	106
76561197960267042	130	138
76561197960267042	240	7680
76561197960267042	730	22768
76561197960267042	17500	745
76561197960267042	17700	89
76561197960267042	107400	2051
76561197960267408	10	717
76561197960267408	240	95550
76561197960267408	4000	952
76561197960267408	12900	184
76561197960267408	500	300
76561197960267408	1250	2491
76561197960267408	10180	213
76561197960267408	10190	1310
76561197960267408	550	2018
76561197960267408	42700	265
76561197960267408	42710	1105
76561197960267408	91900	228
76561197960267408	620	1044
76561197960267408	111400	123
76561197960267408	102600	248
76561197960267408	730	430
76561197960267408	440	906
76561197960267044	10	875
76561197960267044	18500	1282
76561197960267044	730	3961
76561197960267044	257790	331
76561197960267044	267340	254
76561197960267553	10	954
76561197960267102	10	271
76561197960267102	70	105
76561197960267102	240	377915
76561197960267102	20510	857
76561197960267102	17430	138
76561197960267102	15170	1289
76561197960267102	15370	1804
76561197960267102	24840	318
76561197960267102	550	2989
76561197960267102	223530	169
76561197960267102	10180	1328
76561197960267102	39500	118
76561197960267102	41700	1835
76561197960267102	41000	93
76561197960267102	42700	1265
76561197960267102	105600	347
76561197960267102	48220	5379
76561197960267102	201870	1850
76561197960267102	72850	8339
76561197960267102	42680	982
76561197960267102	41070	3650
76561197960267102	12480	337
76561197960267102	57740	129
76561197960267102	108800	885
76561197960267102	730	3500
76561197960267102	202970	973
76561197960267102	219150	320
76561197960267102	214870	352
76561197960267102	208480	81
76561197960267102	209160	319
76561197960267102	39530	543
76561197960267102	39560	66
76561197960267102	440	66
76561197960267616	220	1180
76561197960267616	240	13955
76561197960267616	420	117
76561197960267616	730	319
76561197960267616	440	3069
76561197960267678	240	63
76561197960267134	240	62678
76561197960267134	17300	945
76561197960267134	17330	390
76561197960267134	1930	3956
76561197960267134	22330	1097
76561197960267134	40300	2355
76561197960267134	34830	573
76561197960267134	8930	3209
76561197960267134	40390	1522
76561197960267134	730	2610
76561197960267134	220240	2736
76561197960267525	10	171
76561197960267525	70	542
76561197960267525	400	241
76561197960267583	730	268
76561197960266831	10	1842
76561197960266831	220	67
76561197960266831	240	50058
76561197960266831	280	164
76561197960266831	380	289
76561197960266831	420	628
76561197960266831	91310	1747
76561197960266831	55230	1261
76561197960266831	440	1470
76561197960266831	570	171
76561197960267340	10	2759
76561197960267706	240	962
76561197960267340	240	15945
76561197960267340	440	384
76561197960267340	570	1757
76561197960267706	10190	253
76561197960267706	8980	152
76561197960267706	49600	840
76561197960267706	63200	401
76561197960267706	104700	310
76561197960267706	57900	205
76561197960267706	91700	60
76561197960267706	91310	327
76561197960267706	57400	1901
76561197960267706	55150	223
76561197960267706	17710	73
76561197960267706	201290	420
76561197960267706	204880	116
76561197960267706	104900	231
76561197960267706	49520	2050
76561197960267706	4920	443
76561197960267706	214360	238
76561197960267706	221380	172
76561197960267706	202130	91
76561197960267706	203250	334
76561197960267706	239030	61
76561197960267706	287450	165
76561197960267706	9900	866
76561197960267706	200110	66
76561197960267706	24200	1057
76561197960267706	440	183
76561197960267497	30	792
76561197960267738	10	117
76561197960267738	203770	125
76561197960267738	211820	150
76561197960267079	10	23564
76561197960267738	440	241
76561197960267079	240	102
76561197960267079	4550	2308
76561197960267079	12900	66
76561197960267079	9450	432
76561197960267079	17330	62
76561197960267079	15620	35590
76561197960267079	20570	31375
76561197960267079	24960	14203
76561197960267079	8930	2909
76561197960267079	56400	69047
76561197960267079	91310	5981
76561197960267079	9200	1221
76561197960267079	28050	2529
76561197960267079	9420	519
76561197960267079	55230	228
76561197960267079	41070	143
76561197960267079	42170	3407
76561197960267079	201790	1021
76561197960267079	113200	187
76561197960267079	108700	136
76561197960267079	49520	7827
76561197960267079	730	726
76561197960267079	65800	570
76561197960267079	216250	474
76561197960267079	12210	2313
76561197960267079	251570	1285
76561197960267079	255500	4129
76561197960267079	50650	2401
76561197960267079	222880	506
76561197960267079	304930	214
76561197960267079	440	2413
76561197960267079	570	239
76561197960267079	630	305
76561197960267703	240	64
76561197960267703	217200	941
76561197960267222	10	1902
76561197960267222	70	429
76561197960267222	80	1198
76561197960267222	220	69
76561197960267222	240	119438
76561197960267222	380	66
76561197960267222	3310	64
76561197960267222	3330	98
76561197960267222	3440	71
76561197960267222	4000	71
76561197960267222	13210	131
76561197960267222	15100	78
76561197960267222	13700	122
76561197960267222	12750	408
76561197960267222	500	294
76561197960267222	1250	3933
76561197960267222	21660	2511
76561197960267222	400	72
76561197960267222	10190	1141
76561197960267222	550	12351
76561197960267222	32430	253
76561197960267222	42700	7401
76561197960267222	42710	16809
76561197960267222	24960	1416
76561197960267222	440	230
76561197960267222	570	76
76561197960267550	10	7387
76561197960267550	730	9994
76561197960267550	218620	163
76561197960267766	400	184
76561197960267766	12900	72
76561197960267766	17460	2272
76561197960267766	8980	3671
76561197960267766	550	1531
76561197960267766	24960	5118
76561197960267766	33930	1189
76561197960267766	8930	2591
76561197960267766	22350	114
76561197960267766	50130	79
76561197960267766	47810	132
76561197960267766	620	774
76561197960267766	15500	152
76561197960267766	15520	85
76561197960267766	26500	63
76561197960267766	35460	444
76561197960267766	63000	244
76561197960267766	99830	705
76561197960267766	57900	96
76561197960267766	35700	391
76561197960267766	72850	4553
76561197960267766	49520	6246
76561197960267766	205100	215
76561197960267766	8870	841
76561197960267766	218620	90
76561197960267766	221100	537
76561197960267766	440	141
76561197960267766	39120	5625
76561197960267344	10	78
76561197960267344	220	663
76561197960267344	7940	261
76561197960267344	17460	240
76561197960267344	32360	186
76561197960267344	41500	483
76561197960267344	550	78
76561197960267344	22600	193
76561197960267344	50620	172
76561197960267344	42700	154
76561197960267344	92800	134
76561197960267344	620	195
76561197960267344	28050	811
76561197960267344	24240	217
76561197960267344	42690	1033
76561197960267344	48240	319
76561197960267344	200710	366
76561197960267344	49520	1126
76561197960267344	203160	701
76561197960267344	55230	69
76561197960267344	221640	226
76561197960267344	49540	1288
76561197960267344	8930	2083
76561197960267344	212630	1061
76561197960267344	8870	268
76561197960267344	224600	92
76561197960267109	380	336
76561197960267109	420	251
76561197960267344	43110	67
76561197960267344	218620	272
76561197960267344	250110	178
76561197960267344	243470	763
76561197960267344	440	1297
76561197960267344	570	15695
76561197960267344	17500	296
76561197960267344	17570	66
76561197960267615	220	3131
76561197960267615	300	215
76561197960267615	6910	60
76561197960267615	4540	504
76561197960267615	4550	767
76561197960267615	420	2399
76561197960267615	11200	73
76561197960267615	6290	60
76561197960267615	33120	292
76561197960267615	13210	126
